训练日志将同步写入: logs_multi\train_log_20260418_230828.txt

配置已保存到 checkpoints_multi\config_20260418_230828.json
创建数据加载器...

============================================================
使用多场景训练数据（4 种类型等量混合）
  类型: ['crossing', 'many_targets', 'high_maneuver', 'spindle']
============================================================


创建多场景训练集（seed=42）...

============================================================
多场景数据集: 4 种类型 × 500 = 2000 条场景
============================================================
  生成 crossing       × 500 条...
    200/500
    400/500
  生成 many_targets   × 500 条...
    200/500
    400/500
  生成 high_maneuver  × 500 条...
    200/500
    400/500
  生成 spindle        × 500 条...
    200/500
    400/500
数据集生成完毕！

创建多场景验证集（seed=142）...

============================================================
多场景数据集: 4 种类型 × 50 = 200 条场景
============================================================
  生成 crossing       × 50 条...
  生成 many_targets   × 50 条...
  生成 high_maneuver  × 50 条...
  生成 spindle        × 50 条...
数据集生成完毕！

创建多场景测试集（seed=242）...

============================================================
多场景数据集: 4 种类型 × 50 = 200 条场景
============================================================
  生成 crossing       × 50 条...
  生成 many_targets   × 50 条...
  生成 high_maneuver  × 50 条...
  生成 spindle        × 50 条...
数据集生成完毕！
测试集 'crossing' 已保存 → checkpoints_multi\test_scenarios_crossing.pkl（50 条）
测试集 'many_targets' 已保存 → checkpoints_multi\test_scenarios_many_targets.pkl（50 条）
测试集 'high_maneuver' 已保存 → checkpoints_multi\test_scenarios_high_maneuver.pkl（50 条）
测试集 'spindle' 已保存 → checkpoints_multi\test_scenarios_spindle.pkl（50 条）
训练集 'crossing' 已保存 → checkpoints_multi\train_scenarios_crossing.pkl（500 条）
训练集 'many_targets' 已保存 → checkpoints_multi\train_scenarios_many_targets.pkl（500 条）
训练集 'high_maneuver' 已保存 → checkpoints_multi\train_scenarios_high_maneuver.pkl（500 条）
训练集 'spindle' 已保存 → checkpoints_multi\train_scenarios_spindle.pkl（500 条）
训练批次数: 813
验证批次数: 82
测试批次数: 82
创建模型...
可训练参数数量: 20,531,992

开始训练...
步骤 0/300000 | 总损失: 4.7177 | 关联损失: 3.3452 | 关联准确率: 0.9% | 滤波损失: 1.3725 | 位置误差: 32557.6m | LR: 1.00e-04

验证中...
验证(全量) - 总损失: 3.4295 | 关联准确率: 73.3% | 位置误差: 32660.3m | OSPA: 0.5146 | 位置OSPA: 0.5146 | 数量OSPA: 0.0000
  分场景关联准确率 → crossing: 67.8% | many_targets: 71.5% | high_maneuver: 76.0% | spindle: 78.4%
保存最佳模型，OSPA: 0.5146
步骤 100/300000 | 总损失: 2.2598 | 关联损失: 0.9428 | 关联准确率: 74.6% | 滤波损失: 1.3170 | 位置误差: 32803.5m | LR: 1.00e-04
步骤 200/300000 | 总损失: 2.1143 | 关联损失: 1.0189 | 关联准确率: 71.9% | 滤波损失: 1.0955 | 位置误差: 30560.1m | LR: 1.00e-04
步骤 300/300000 | 总损失: 1.9037 | 关联损失: 1.0487 | 关联准确率: 70.5% | 滤波损失: 0.8549 | 位置误差: 26401.6m | LR: 1.00e-04
步骤 400/300000 | 总损失: 1.7911 | 关联损失: 1.0273 | 关联准确率: 71.0% | 滤波损失: 0.7639 | 位置误差: 24951.3m | LR: 1.00e-04
步骤 500/300000 | 总损失: 1.8635 | 关联损失: 1.0948 | 关联准确率: 68.6% | 滤波损失: 0.7687 | 位置误差: 25599.9m | LR: 1.00e-04
步骤 600/300000 | 总损失: 1.3382 | 关联损失: 0.9303 | 关联准确率: 73.3% | 滤波损失: 0.4078 | 位置误差: 17153.7m | LR: 1.00e-04
步骤 700/300000 | 总损失: 1.2941 | 关联损失: 0.8743 | 关联准确率: 70.8% | 滤波损失: 0.4197 | 位置误差: 17102.7m | LR: 1.00e-04
步骤 800/300000 | 总损失: 1.1428 | 关联损失: 0.7426 | 关联准确率: 72.5% | 滤波损失: 0.4003 | 位置误差: 15983.1m | LR: 1.00e-04
步骤 900/300000 | 总损失: 1.0623 | 关联损失: 0.6848 | 关联准确率: 75.4% | 滤波损失: 0.3775 | 位置误差: 15957.3m | LR: 1.00e-04
步骤 1000/300000 | 总损失: 0.9399 | 关联损失: 0.6894 | 关联准确率: 75.1% | 滤波损失: 0.2505 | 位置误差: 12261.4m | LR: 1.00e-04
步骤 1100/300000 | 总损失: 0.8488 | 关联损失: 0.5734 | 关联准确率: 78.9% | 滤波损失: 0.2754 | 位置误差: 12204.1m | LR: 1.00e-04
步骤 1200/300000 | 总损失: 0.8774 | 关联损失: 0.6354 | 关联准确率: 76.7% | 滤波损失: 0.2420 | 位置误差: 11209.9m | LR: 1.00e-04
步骤 1300/300000 | 总损失: 0.6871 | 关联损失: 0.5399 | 关联准确率: 78.3% | 滤波损失: 0.1473 | 位置误差: 9118.7m | LR: 1.00e-04
步骤 1400/300000 | 总损失: 0.6235 | 关联损失: 0.4881 | 关联准确率: 79.7% | 滤波损失: 0.1355 | 位置误差: 8020.7m | LR: 1.00e-04
步骤 1500/300000 | 总损失: 0.5304 | 关联损失: 0.4183 | 关联准确率: 82.5% | 滤波损失: 0.1121 | 位置误差: 6647.3m | LR: 1.00e-04
步骤 1600/300000 | 总损失: 0.4761 | 关联损失: 0.3871 | 关联准确率: 82.4% | 滤波损失: 0.0891 | 位置误差: 6059.0m | LR: 1.00e-04
步骤 1700/300000 | 总损失: 0.5164 | 关联损失: 0.4425 | 关联准确率: 78.9% | 滤波损失: 0.0739 | 位置误差: 6011.9m | LR: 1.00e-04
步骤 1800/300000 | 总损失: 0.5475 | 关联损失: 0.4595 | 关联准确率: 80.2% | 滤波损失: 0.0880 | 位置误差: 6357.4m | LR: 1.00e-04
步骤 1900/300000 | 总损失: 0.5119 | 关联损失: 0.4217 | 关联准确率: 81.2% | 滤波损失: 0.0902 | 位置误差: 6039.5m | LR: 1.00e-04
步骤 2000/300000 | 总损失: 0.4683 | 关联损失: 0.3933 | 关联准确率: 82.2% | 滤波损失: 0.0750 | 位置误差: 5548.5m | LR: 1.00e-04
步骤 2100/300000 | 总损失: 0.4598 | 关联损失: 0.4015 | 关联准确率: 80.8% | 滤波损失: 0.0583 | 位置误差: 4626.5m | LR: 1.00e-04
步骤 2200/300000 | 总损失: 0.3738 | 关联损失: 0.3199 | 关联准确率: 84.8% | 滤波损失: 0.0539 | 位置误差: 4369.0m | LR: 1.00e-04
步骤 2300/300000 | 总损失: 0.4477 | 关联损失: 0.3736 | 关联准确率: 83.9% | 滤波损失: 0.0740 | 位置误差: 4786.9m | LR: 1.00e-04
步骤 2400/300000 | 总损失: 0.3599 | 关联损失: 0.3105 | 关联准确率: 86.8% | 滤波损失: 0.0494 | 位置误差: 3929.1m | LR: 1.00e-04
步骤 2500/300000 | 总损失: 0.3570 | 关联损失: 0.3283 | 关联准确率: 84.9% | 滤波损失: 0.0287 | 位置误差: 3367.4m | LR: 1.00e-04
步骤 2600/300000 | 总损失: 0.3890 | 关联损失: 0.3357 | 关联准确率: 84.9% | 滤波损失: 0.0533 | 位置误差: 4029.8m | LR: 1.00e-04
步骤 2700/300000 | 总损失: 0.3577 | 关联损失: 0.3274 | 关联准确率: 84.5% | 滤波损失: 0.0303 | 位置误差: 3374.5m | LR: 1.00e-04
步骤 2800/300000 | 总损失: 0.3208 | 关联损失: 0.2740 | 关联准确率: 88.1% | 滤波损失: 0.0467 | 位置误差: 3507.8m | LR: 1.00e-04
步骤 2900/300000 | 总损失: 0.3346 | 关联损失: 0.3014 | 关联准确率: 86.9% | 滤波损失: 0.0332 | 位置误差: 3339.2m | LR: 1.00e-04
步骤 3000/300000 | 总损失: 0.3596 | 关联损失: 0.3193 | 关联准确率: 83.9% | 滤波损失: 0.0402 | 位置误差: 3727.5m | LR: 1.00e-04
步骤 3100/300000 | 总损失: 0.3203 | 关联损失: 0.2857 | 关联准确率: 87.8% | 滤波损失: 0.0346 | 位置误差: 3176.4m | LR: 1.00e-04
步骤 3200/300000 | 总损失: 0.2943 | 关联损失: 0.2655 | 关联准确率: 86.8% | 滤波损失: 0.0289 | 位置误差: 3251.9m | LR: 1.00e-04
步骤 3300/300000 | 总损失: 0.2771 | 关联损失: 0.2543 | 关联准确率: 87.9% | 滤波损失: 0.0228 | 位置误差: 2771.9m | LR: 1.00e-04
步骤 3400/300000 | 总损失: 0.2981 | 关联损失: 0.2479 | 关联准确率: 88.7% | 滤波损失: 0.0502 | 位置误差: 3380.0m | LR: 1.00e-04
步骤 3500/300000 | 总损失: 0.3219 | 关联损失: 0.2805 | 关联准确率: 86.9% | 滤波损失: 0.0414 | 位置误差: 3563.2m | LR: 1.00e-04
步骤 3600/300000 | 总损失: 0.3274 | 关联损失: 0.2896 | 关联准确率: 87.1% | 滤波损失: 0.0378 | 位置误差: 3207.5m | LR: 1.00e-04
步骤 3700/300000 | 总损失: 0.3184 | 关联损失: 0.2812 | 关联准确率: 86.9% | 滤波损失: 0.0372 | 位置误差: 3213.5m | LR: 1.00e-04
步骤 3800/300000 | 总损失: 0.3077 | 关联损失: 0.2709 | 关联准确率: 87.3% | 滤波损失: 0.0368 | 位置误差: 3137.8m | LR: 1.00e-04
步骤 3900/300000 | 总损失: 0.3462 | 关联损失: 0.3193 | 关联准确率: 86.0% | 滤波损失: 0.0269 | 位置误差: 2920.5m | LR: 1.00e-04
步骤 4000/300000 | 总损失: 0.2767 | 关联损失: 0.2562 | 关联准确率: 87.4% | 滤波损失: 0.0205 | 位置误差: 2498.8m | LR: 1.00e-04
步骤 4100/300000 | 总损失: 0.2659 | 关联损失: 0.2339 | 关联准确率: 89.0% | 滤波损失: 0.0321 | 位置误差: 2707.3m | LR: 1.00e-04
步骤 4200/300000 | 总损失: 0.2820 | 关联损失: 0.2603 | 关联准确率: 87.6% | 滤波损失: 0.0217 | 位置误差: 2587.6m | LR: 1.00e-04
步骤 4300/300000 | 总损失: 0.2427 | 关联损失: 0.2302 | 关联准确率: 88.9% | 滤波损失: 0.0126 | 位置误差: 2006.9m | LR: 1.00e-04
步骤 4400/300000 | 总损失: 0.2628 | 关联损失: 0.2435 | 关联准确率: 88.5% | 滤波损失: 0.0193 | 位置误差: 2385.9m | LR: 1.00e-04
步骤 4500/300000 | 总损失: 0.2434 | 关联损失: 0.2178 | 关联准确率: 89.1% | 滤波损失: 0.0256 | 位置误差: 2356.8m | LR: 1.00e-04
