训练日志将同步写入: logs_multi\train_log_20260412_181635.txt

配置已保存到 checkpoints_multi\config_20260412_181635.json
创建数据加载器...

============================================================
使用多场景训练数据（4 种类型等量混合）
  类型: ['crossing', 'many_targets', 'high_maneuver', 'spindle']
============================================================


创建多场景训练集（seed=42）...

============================================================
多场景数据集: 4 种类型 × 500 = 2000 条场景
============================================================
  生成 crossing       × 500 条...
    200/500
    400/500
  生成 many_targets   × 500 条...
    200/500
    400/500
  生成 high_maneuver  × 500 条...
    200/500
    400/500
  生成 spindle        × 500 条...
    200/500
    400/500
数据集生成完毕！

创建多场景验证集（seed=142）...

============================================================
多场景数据集: 4 种类型 × 50 = 200 条场景
============================================================
  生成 crossing       × 50 条...
  生成 many_targets   × 50 条...
  生成 high_maneuver  × 50 条...
  生成 spindle        × 50 条...
数据集生成完毕！

创建多场景测试集（seed=242）...

============================================================
多场景数据集: 4 种类型 × 50 = 200 条场景
============================================================
  生成 crossing       × 50 条...
  生成 many_targets   × 50 条...
  生成 high_maneuver  × 50 条...
  生成 spindle        × 50 条...
数据集生成完毕！
测试集 'crossing' 已保存 → checkpoints_multi\test_scenarios_crossing.pkl（50 条）
测试集 'many_targets' 已保存 → checkpoints_multi\test_scenarios_many_targets.pkl（50 条）
测试集 'high_maneuver' 已保存 → checkpoints_multi\test_scenarios_high_maneuver.pkl（50 条）
测试集 'spindle' 已保存 → checkpoints_multi\test_scenarios_spindle.pkl（50 条）
训练集 'crossing' 已保存 → checkpoints_multi\train_scenarios_crossing.pkl（500 条）
训练集 'many_targets' 已保存 → checkpoints_multi\train_scenarios_many_targets.pkl（500 条）
训练集 'high_maneuver' 已保存 → checkpoints_multi\train_scenarios_high_maneuver.pkl（500 条）
训练集 'spindle' 已保存 → checkpoints_multi\train_scenarios_spindle.pkl（500 条）
训练批次数: 813
验证批次数: 82
测试批次数: 82
创建模型...
可训练参数数量: 20,531,992

开始训练...
步骤 0/300000 | 总损失: 4.6024 | 关联损失: 3.3459 | 关联准确率: 0.6% | 滤波损失: 1.2565 | 位置误差: 31775.4m | LR: 1.00e-04

验证中...
验证(全量) - 总损失: 3.4789 | 关联准确率: 74.1% | 位置误差: 33509.6m | OSPA: 0.5087 | 位置OSPA: 0.5087 | 数量OSPA: 0.0000
  分场景关联准确率 → crossing: 72.0% | many_targets: 70.7% | high_maneuver: 76.7% | spindle: 76.5%
保存最佳模型，OSPA: 0.5087
步骤 100/300000 | 总损失: 2.0503 | 关联损失: 0.9146 | 关联准确率: 74.9% | 滤波损失: 1.1357 | 位置误差: 30753.1m | LR: 1.00e-04
步骤 200/300000 | 总损失: 2.1070 | 关联损失: 0.9857 | 关联准确率: 72.9% | 滤波损失: 1.1213 | 位置误差: 31264.1m | LR: 1.00e-04
步骤 300/300000 | 总损失: 1.6997 | 关联损失: 0.9287 | 关联准确率: 73.7% | 滤波损失: 0.7710 | 位置误差: 25385.5m | LR: 1.00e-04
步骤 400/300000 | 总损失: 1.5844 | 关联损失: 0.8978 | 关联准确率: 75.0% | 滤波损失: 0.6866 | 位置误差: 22666.0m | LR: 1.00e-04
步骤 500/300000 | 总损失: 1.4871 | 关联损失: 0.9219 | 关联准确率: 73.8% | 滤波损失: 0.5652 | 位置误差: 20989.0m | LR: 1.00e-04
步骤 600/300000 | 总损失: 1.2366 | 关联损失: 0.8067 | 关联准确率: 75.4% | 滤波损失: 0.4299 | 位置误差: 17676.2m | LR: 1.00e-04
步骤 700/300000 | 总损失: 1.0965 | 关联损失: 0.6913 | 关联准确率: 74.8% | 滤波损失: 0.4052 | 位置误差: 16131.4m | LR: 1.00e-04
步骤 800/300000 | 总损失: 0.9879 | 关联损失: 0.6113 | 关联准确率: 77.2% | 滤波损失: 0.3766 | 位置误差: 15278.9m | LR: 1.00e-04
步骤 900/300000 | 总损失: 1.0953 | 关联损失: 0.6876 | 关联准确率: 75.5% | 滤波损失: 0.4077 | 位置误差: 16609.0m | LR: 1.00e-04
步骤 1000/300000 | 总损失: 1.0474 | 关联损失: 0.6693 | 关联准确率: 74.1% | 滤波损失: 0.3782 | 位置误差: 15536.0m | LR: 1.00e-04
步骤 1100/300000 | 总损失: 0.7276 | 关联损失: 0.5069 | 关联准确率: 80.5% | 滤波损失: 0.2207 | 位置误差: 10660.3m | LR: 1.00e-04
步骤 1200/300000 | 总损失: 0.7616 | 关联损失: 0.5523 | 关联准确率: 79.8% | 滤波损失: 0.2094 | 位置误差: 10417.8m | LR: 1.00e-04
步骤 1300/300000 | 总损失: 0.5316 | 关联损失: 0.4110 | 关联准确率: 81.5% | 滤波损失: 0.1205 | 位置误差: 7628.5m | LR: 1.00e-04
步骤 1400/300000 | 总损失: 0.4271 | 关联损失: 0.3434 | 关联准确率: 83.9% | 滤波损失: 0.0838 | 位置误差: 5925.5m | LR: 1.00e-04
步骤 1500/300000 | 总损失: 0.5517 | 关联损失: 0.3893 | 关联准确率: 82.0% | 滤波损失: 0.1624 | 位置误差: 8215.3m | LR: 1.00e-04
步骤 1600/300000 | 总损失: 0.4986 | 关联损失: 0.3992 | 关联准确率: 82.6% | 滤波损失: 0.0994 | 位置误差: 6794.2m | LR: 1.00e-04
步骤 1700/300000 | 总损失: 0.5314 | 关联损失: 0.4225 | 关联准确率: 81.6% | 滤波损失: 0.1089 | 位置误差: 6856.8m | LR: 1.00e-04
步骤 1800/300000 | 总损失: 0.4510 | 关联损失: 0.3501 | 关联准确率: 83.4% | 滤波损失: 0.1009 | 位置误差: 5817.6m | LR: 1.00e-04
步骤 1900/300000 | 总损失: 0.5052 | 关联损失: 0.3922 | 关联准确率: 83.5% | 滤波损失: 0.1130 | 位置误差: 6662.4m | LR: 1.00e-04
步骤 2000/300000 | 总损失: 0.3549 | 关联损失: 0.2977 | 关联准确率: 86.6% | 滤波损失: 0.0572 | 位置误差: 4675.6m | LR: 1.00e-04
步骤 2100/300000 | 总损失: 0.4345 | 关联损失: 0.3645 | 关联准确率: 83.5% | 滤波损失: 0.0700 | 位置误差: 5368.0m | LR: 1.00e-04
步骤 2200/300000 | 总损失: 0.5188 | 关联损失: 0.4054 | 关联准确率: 84.0% | 滤波损失: 0.1134 | 位置误差: 6622.3m | LR: 1.00e-04
步骤 2300/300000 | 总损失: 0.4701 | 关联损失: 0.3740 | 关联准确率: 83.5% | 滤波损失: 0.0962 | 位置误差: 5903.5m | LR: 1.00e-04
步骤 2400/300000 | 总损失: 0.4044 | 关联损失: 0.3371 | 关联准确率: 85.1% | 滤波损失: 0.0673 | 位置误差: 4604.8m | LR: 1.00e-04
步骤 2500/300000 | 总损失: 0.3472 | 关联损失: 0.2900 | 关联准确率: 86.7% | 滤波损失: 0.0572 | 位置误差: 4509.6m | LR: 1.00e-04
步骤 2600/300000 | 总损失: 0.3690 | 关联损失: 0.3075 | 关联准确率: 86.7% | 滤波损失: 0.0614 | 位置误差: 4551.2m | LR: 1.00e-04
步骤 2700/300000 | 总损失: 0.2746 | 关联损失: 0.2383 | 关联准确率: 88.9% | 滤波损失: 0.0363 | 位置误差: 3311.0m | LR: 1.00e-04
步骤 2800/300000 | 总损失: 0.3604 | 关联损失: 0.3135 | 关联准确率: 86.6% | 滤波损失: 0.0468 | 位置误差: 3825.5m | LR: 1.00e-04
步骤 2900/300000 | 总损失: 0.2796 | 关联损失: 0.2445 | 关联准确率: 89.4% | 滤波损失: 0.0351 | 位置误差: 3445.7m | LR: 1.00e-04
步骤 3000/300000 | 总损失: 0.3357 | 关联损失: 0.2794 | 关联准确率: 87.3% | 滤波损失: 0.0563 | 位置误差: 4357.8m | LR: 1.00e-04
步骤 3100/300000 | 总损失: 0.3746 | 关联损失: 0.3085 | 关联准确率: 86.4% | 滤波损失: 0.0661 | 位置误差: 4375.1m | LR: 1.00e-04
步骤 3200/300000 | 总损失: 0.3359 | 关联损失: 0.2795 | 关联准确率: 86.9% | 滤波损失: 0.0564 | 位置误差: 4054.3m | LR: 1.00e-04
步骤 3300/300000 | 总损失: 0.3129 | 关联损失: 0.2724 | 关联准确率: 88.7% | 滤波损失: 0.0405 | 位置误差: 3507.7m | LR: 1.00e-04
步骤 3400/300000 | 总损失: 0.2992 | 关联损失: 0.2517 | 关联准确率: 87.7% | 滤波损失: 0.0475 | 位置误差: 3517.9m | LR: 1.00e-04
步骤 3500/300000 | 总损失: 0.3337 | 关联损失: 0.2931 | 关联准确率: 86.5% | 滤波损失: 0.0406 | 位置误差: 3644.5m | LR: 1.00e-04
步骤 3600/300000 | 总损失: 0.2813 | 关联损失: 0.2354 | 关联准确率: 90.5% | 滤波损失: 0.0459 | 位置误差: 3193.5m | LR: 1.00e-04
步骤 3700/300000 | 总损失: 0.2792 | 关联损失: 0.2504 | 关联准确率: 87.9% | 滤波损失: 0.0288 | 位置误差: 2899.2m | LR: 1.00e-04
步骤 3800/300000 | 总损失: 0.2686 | 关联损失: 0.2289 | 关联准确率: 89.6% | 滤波损失: 0.0397 | 位置误差: 3039.9m | LR: 1.00e-04
步骤 3900/300000 | 总损失: 0.2174 | 关联损失: 0.1994 | 关联准确率: 90.7% | 滤波损失: 0.0181 | 位置误差: 2216.1m | LR: 1.00e-04
步骤 4000/300000 | 总损失: 0.2798 | 关联损失: 0.2460 | 关联准确率: 88.3% | 滤波损失: 0.0337 | 位置误差: 2667.0m | LR: 1.00e-04
步骤 4100/300000 | 总损失: 0.2832 | 关联损失: 0.2401 | 关联准确率: 89.6% | 滤波损失: 0.0432 | 位置误差: 3603.3m | LR: 1.00e-04
步骤 4200/300000 | 总损失: 0.2857 | 关联损失: 0.2548 | 关联准确率: 89.1% | 滤波损失: 0.0309 | 位置误差: 2906.6m | LR: 1.00e-04
步骤 4300/300000 | 总损失: 0.2812 | 关联损失: 0.2501 | 关联准确率: 88.7% | 滤波损失: 0.0311 | 位置误差: 2946.2m | LR: 1.00e-04
步骤 4400/300000 | 总损失: 0.2735 | 关联损失: 0.2263 | 关联准确率: 89.2% | 滤波损失: 0.0472 | 位置误差: 3182.6m | LR: 1.00e-04
步骤 4500/300000 | 总损失: 0.2598 | 关联损失: 0.2230 | 关联准确率: 89.2% | 滤波损失: 0.0368 | 位置误差: 3165.0m | LR: 1.00e-04
