训练日志将同步写入: logs_multi\train_log_20260412_175917.txt

配置已保存到 checkpoints_multi\config_20260412_175917.json
创建数据加载器...

============================================================
使用多场景训练数据（4 种类型等量混合）
  类型: ['crossing', 'many_targets', 'high_maneuver', 'spindle']
============================================================


创建多场景训练集（seed=42）...

============================================================
多场景数据集: 4 种类型 × 500 = 2000 条场景
============================================================
  生成 crossing       × 500 条...
    200/500
    400/500
  生成 many_targets   × 500 条...
    200/500
    400/500
  生成 high_maneuver  × 500 条...
    200/500
    400/500
  生成 spindle        × 500 条...
    200/500
    400/500
数据集生成完毕！

创建多场景验证集（seed=142）...

============================================================
多场景数据集: 4 种类型 × 50 = 200 条场景
============================================================
  生成 crossing       × 50 条...
  生成 many_targets   × 50 条...
  生成 high_maneuver  × 50 条...
  生成 spindle        × 50 条...
数据集生成完毕！

创建多场景测试集（seed=242）...

============================================================
多场景数据集: 4 种类型 × 50 = 200 条场景
============================================================
  生成 crossing       × 50 条...
  生成 many_targets   × 50 条...
  生成 high_maneuver  × 50 条...
  生成 spindle        × 50 条...
数据集生成完毕！
测试集 'crossing' 已保存 → checkpoints_multi\test_scenarios_crossing.pkl（50 条）
测试集 'many_targets' 已保存 → checkpoints_multi\test_scenarios_many_targets.pkl（50 条）
测试集 'high_maneuver' 已保存 → checkpoints_multi\test_scenarios_high_maneuver.pkl（50 条）
测试集 'spindle' 已保存 → checkpoints_multi\test_scenarios_spindle.pkl（50 条）
训练集 'crossing' 已保存 → checkpoints_multi\train_scenarios_crossing.pkl（500 条）
训练集 'many_targets' 已保存 → checkpoints_multi\train_scenarios_many_targets.pkl（500 条）
训练集 'high_maneuver' 已保存 → checkpoints_multi\train_scenarios_high_maneuver.pkl（500 条）
训练集 'spindle' 已保存 → checkpoints_multi\train_scenarios_spindle.pkl（500 条）
训练批次数: 813
验证批次数: 82
测试批次数: 82
创建模型...
可训练参数数量: 20,531,992

开始训练...
步骤 0/300000 | 总损失: 1259.8522 | 关联损失: 3.3459 | 关联准确率: 0.6% | 滤波损失: 1256.5062 | 位置误差: 31775.4m | LR: 1.00e-04

验证中...
验证 - 总损失: 1468.9209 | 关联准确率: 74.1% | 位置误差: 34079.6m | OSPA: 0.5272 | 位置OSPA: 0.5272 | 数量OSPA: 0.0000
保存最佳模型，OSPA: 0.5272
步骤 100/300000 | 总损失: 1295.1569 | 关联损失: 0.9956 | 关联准确率: 74.9% | 滤波损失: 1294.1613 | 位置误差: 32007.3m | LR: 1.00e-04
步骤 200/300000 | 总损失: 1071.2139 | 关联损失: 1.0631 | 关联准确率: 72.9% | 滤波损失: 1070.1508 | 位置误差: 30654.7m | LR: 1.00e-04
步骤 300/300000 | 总损失: 1001.1589 | 关联损失: 1.0213 | 关联准确率: 73.7% | 滤波损失: 1000.1376 | 位置误差: 29667.2m | LR: 1.00e-04
步骤 400/300000 | 总损失: 921.6749 | 关联损失: 0.9642 | 关联准确率: 75.0% | 滤波损失: 920.7108 | 位置误差: 28269.8m | LR: 1.00e-04
步骤 500/300000 | 总损失: 871.3141 | 关联损失: 0.9980 | 关联准确率: 73.8% | 滤波损失: 870.3162 | 位置误差: 27615.4m | LR: 1.00e-04
步骤 600/300000 | 总损失: 953.3451 | 关联损失: 0.9577 | 关联准确率: 75.7% | 滤波损失: 952.3874 | 位置误差: 29107.3m | LR: 1.00e-04
步骤 700/300000 | 总损失: 898.3608 | 关联损失: 0.9608 | 关联准确率: 74.9% | 滤波损失: 897.4000 | 位置误差: 28061.8m | LR: 1.00e-04
步骤 800/300000 | 总损失: 907.1071 | 关联损失: 0.9546 | 关联准确率: 75.3% | 滤波损失: 906.1525 | 位置误差: 28406.0m | LR: 1.00e-04
步骤 900/300000 | 总损失: 906.0845 | 关联损失: 1.0042 | 关联准确率: 73.6% | 滤波损失: 905.0803 | 位置误差: 28238.7m | LR: 1.00e-04
步骤 1000/300000 | 总损失: 846.0485 | 关联损失: 0.9603 | 关联准确率: 75.2% | 滤波损失: 845.0882 | 位置误差: 27595.1m | LR: 1.00e-04
步骤 1100/300000 | 总损失: 909.7290 | 关联损失: 0.9493 | 关联准确率: 76.4% | 滤波损失: 908.7797 | 位置误差: 28713.3m | LR: 1.00e-04
步骤 1200/300000 | 总损失: 914.4569 | 关联损失: 0.9505 | 关联准确率: 75.3% | 滤波损失: 913.5064 | 位置误差: 28563.8m | LR: 1.00e-04
步骤 1300/300000 | 总损失: 935.9786 | 关联损失: 0.9782 | 关联准确率: 74.2% | 滤波损失: 935.0004 | 位置误差: 28906.3m | LR: 1.00e-04
步骤 1400/300000 | 总损失: 903.4008 | 关联损失: 1.0014 | 关联准确率: 73.9% | 滤波损失: 902.3994 | 位置误差: 28307.9m | LR: 1.00e-04
步骤 1500/300000 | 总损失: 924.7674 | 关联损失: 0.9122 | 关联准确率: 76.5% | 滤波损失: 923.8552 | 位置误差: 28597.9m | LR: 1.00e-04
步骤 1600/300000 | 总损失: 904.5203 | 关联损失: 0.9393 | 关联准确率: 75.3% | 滤波损失: 903.5810 | 位置误差: 28321.0m | LR: 1.00e-04
步骤 1700/300000 | 总损失: 876.0450 | 关联损失: 0.9329 | 关联准确率: 76.0% | 滤波损失: 875.1121 | 位置误差: 27875.2m | LR: 1.00e-04
步骤 1800/300000 | 总损失: 869.3922 | 关联损失: 0.9817 | 关联准确率: 74.4% | 滤波损失: 868.4104 | 位置误差: 27535.5m | LR: 1.00e-04
步骤 1900/300000 | 总损失: 899.0272 | 关联损失: 0.9737 | 关联准确率: 74.8% | 滤波损失: 898.0535 | 位置误差: 28124.1m | LR: 1.00e-04
步骤 2000/300000 | 总损失: 1061.8293 | 关联损失: 1.0483 | 关联准确率: 72.2% | 滤波损失: 1060.7810 | 位置误差: 30714.7m | LR: 1.00e-04
步骤 2100/300000 | 总损失: 924.5495 | 关联损失: 0.9658 | 关联准确率: 74.7% | 滤波损失: 923.5837 | 位置误差: 28544.3m | LR: 1.00e-04
步骤 2200/300000 | 总损失: 983.6701 | 关联损失: 1.0521 | 关联准确率: 72.1% | 滤波损失: 982.6180 | 位置误差: 29570.0m | LR: 1.00e-04
步骤 2300/300000 | 总损失: 903.8495 | 关联损失: 0.9662 | 关联准确率: 75.3% | 滤波损失: 902.8834 | 位置误差: 28080.3m | LR: 1.00e-04
步骤 2400/300000 | 总损失: 900.2304 | 关联损失: 1.0089 | 关联准确率: 73.6% | 滤波损失: 899.2215 | 位置误差: 28217.7m | LR: 1.00e-04
步骤 2500/300000 | 总损失: 967.1057 | 关联损失: 0.9958 | 关联准确率: 73.7% | 滤波损失: 966.1099 | 位置误差: 29254.7m | LR: 1.00e-04
步骤 2600/300000 | 总损失: 924.0748 | 关联损失: 0.9876 | 关联准确率: 73.8% | 滤波损失: 923.0872 | 位置误差: 28495.5m | LR: 1.00e-04
步骤 2700/300000 | 总损失: 913.4680 | 关联损失: 1.0340 | 关联准确率: 74.0% | 滤波损失: 912.4340 | 位置误差: 28250.8m | LR: 1.00e-04
步骤 2800/300000 | 总损失: 883.2558 | 关联损失: 0.9793 | 关联准确率: 74.3% | 滤波损失: 882.2765 | 位置误差: 27917.9m | LR: 1.00e-04
步骤 2900/300000 | 总损失: 840.6238 | 关联损失: 0.9510 | 关联准确率: 75.8% | 滤波损失: 839.6729 | 位置误差: 27256.4m | LR: 1.00e-04
步骤 3000/300000 | 总损失: 939.3165 | 关联损失: 0.8774 | 关联准确率: 77.5% | 滤波损失: 938.4391 | 位置误差: 28973.3m | LR: 1.00e-04
步骤 3100/300000 | 总损失: 926.1395 | 关联损失: 0.9134 | 关联准确率: 76.6% | 滤波损失: 925.2261 | 位置误差: 28317.1m | LR: 1.00e-04
步骤 3200/300000 | 总损失: 859.7543 | 关联损失: 1.0015 | 关联准确率: 74.0% | 滤波损失: 858.7527 | 位置误差: 27426.9m | LR: 1.00e-04
步骤 3300/300000 | 总损失: 885.6979 | 关联损失: 0.9991 | 关联准确率: 74.5% | 滤波损失: 884.6988 | 位置误差: 27739.0m | LR: 1.00e-04
步骤 3400/300000 | 总损失: 875.0336 | 关联损失: 0.9849 | 关联准确率: 75.0% | 滤波损失: 874.0487 | 位置误差: 27808.0m | LR: 1.00e-04
步骤 3500/300000 | 总损失: 869.0353 | 关联损失: 0.9947 | 关联准确率: 74.0% | 滤波损失: 868.0405 | 位置误差: 27356.9m | LR: 1.00e-04
步骤 3600/300000 | 总损失: 890.9338 | 关联损失: 0.9989 | 关联准确率: 73.2% | 滤波损失: 889.9349 | 位置误差: 27887.3m | LR: 1.00e-04
步骤 3700/300000 | 总损失: 892.8202 | 关联损失: 0.9758 | 关联准确率: 74.8% | 滤波损失: 891.8444 | 位置误差: 28182.8m | LR: 1.00e-04
步骤 3800/300000 | 总损失: 1012.2043 | 关联损失: 0.9647 | 关联准确率: 74.9% | 滤波损失: 1011.2396 | 位置误差: 29959.4m | LR: 1.00e-04
步骤 3900/300000 | 总损失: 928.2828 | 关联损失: 1.0472 | 关联准确率: 72.5% | 滤波损失: 927.2356 | 位置误差: 28749.9m | LR: 1.00e-04
步骤 4000/300000 | 总损失: 953.7757 | 关联损失: 0.9819 | 关联准确率: 74.1% | 滤波损失: 952.7938 | 位置误差: 29067.0m | LR: 1.00e-04
步骤 4100/300000 | 总损失: 957.2198 | 关联损失: 1.0058 | 关联准确率: 73.6% | 滤波损失: 956.2139 | 位置误差: 29070.9m | LR: 1.00e-04
步骤 4200/300000 | 总损失: 826.9286 | 关联损失: 0.9628 | 关联准确率: 74.7% | 滤波损失: 825.9658 | 位置误差: 26804.4m | LR: 1.00e-04
步骤 4300/300000 | 总损失: 894.2946 | 关联损失: 0.9944 | 关联准确率: 74.2% | 滤波损失: 893.3002 | 位置误差: 27826.1m | LR: 1.00e-04
步骤 4400/300000 | 总损失: 1023.9727 | 关联损失: 0.9705 | 关联准确率: 75.1% | 滤波损失: 1023.0022 | 位置误差: 30309.4m | LR: 1.00e-04
步骤 4500/300000 | 总损失: 914.6481 | 关联损失: 1.0217 | 关联准确率: 73.1% | 滤波损失: 913.6264 | 位置误差: 28401.0m | LR: 1.00e-04
步骤 4600/300000 | 总损失: 837.7018 | 关联损失: 0.8977 | 关联准确率: 76.7% | 滤波损失: 836.8041 | 位置误差: 26904.7m | LR: 1.00e-04
